Player,Tm,Pos,Type,Class,Details
Darian Stewart,DEN,S,Foot,questionable,Stewart is tending to a foot injury and it is unclear if he will partake in Sunday's game against the Rams.
Brandon Marshall,DEN,LB,Knee,questionable,Marshall is nursing a knee injury and it is unknown if he will suit up against the Rams on Sunday.
Jared Veldheer,DEN,T,Knee,out,Veldheer was held out of the previous game due to a right knee injury and will not play Sunday against the Rams.
Adam Jones,DEN,CB,Hamstring,questionable,Jones exited the previous game due to a hamstring injury and his status for Sunday's contest against the Rams is unclear.
Sam Jones,DEN,G,Back,questionable,Jones has been held out of the past five games due to a lower-back injury and it is unclear if he will make his season debut against the Rams on Sunday.
Marquette King,DEN,P,Groin,I-R,King has landed on injured reserve with a groin injury.
Jake Butt,DEN,TE,Knee,I-R,Butt has been placed on IR after suffering a non-contact torn ACL in his left knee.
Jamal Carter,DEN,S,Hamstring,I-R,Carter has landed on injured reserve due to a substantial hamstring injury.
Andy Jones,DET,WR,Undisclosed,I-R,Jones has been placed on the active PUP list due to an unspecified ailment and it is uncertain if he will play in Week 7 against the Dolphins.
Jamal Agnew,DET,CB,Knee,out,Agnew was lifted from the last game due to a knee injury and it has yet to be established when he will return to the lineup.
Kerryon Johnson,DET,RB,Ankle,probable,Johnson was forced from the previous game due to an ankle injury but is likely to play Week 7 against the Dolphins.
Ezekiel Ansah,DET,DE,Shoulder,questionable,Ansah has been held out of the past four games due to a shoulder injury and it is unclear if he will return to action against the Dolphins in Week 7.
Tavon Wilson,DET,S,Back,questionable,Wilson was held out of the previous game due to a back injury and it is uncertain if he will play Week 7 against the Dolphins.
Michael Roberts,DET,TE,Knee,questionable,Roberts has missed the last three games due to a knee injury and it is unknown if he will return Week 7 against the Dolphins.
T.J. Lang,DET,G,Concussion,questionable,Lang sat out the last game due to a concussion and it is undetermined if he will be cleared in time for Week 7 against the Dolphins.
Teez Tabor,DET,CB,Groin,questionable,Tabor left the previous game due to a groin injury and it is uncertain if he will be active for Week 7 against the Dolphins.
Eli Harold,DET,LB,Shoulder,questionable,Harold was absent from the lineup during the previous game with a shoulder injury and it is undetermined if he will play against the Dolphins during Week 7.
Nick Bawden,DET,FB,Knee,I-R,Bawden is on the injured reserve list due to a torn ACL.
Steve Longa,DET,LB,Knee,I-R,Longa has landed on injured reserve as he suffered a torn ACL.
Muhammad Wilkerson,GNB,DL,Ankle,I-R,Wilkerson had surgery to repair a significant ankle injury and has been placed on injured reserve.
Kyle Murphy,GNB,T,Ankle,I-R,Murphy has landed on the injured reserve list due to an ankle issue.
Trevor Davis,GNB,WR,Hamstring,I-R,Davis is on injured reserve due to a hamstring injury and it is unknown if he will be activated prior to Week 10 against the Dolphins.
Cole Madison,GNB,G,Personal,I-R,Madison has been placed on the IR/Did Not Report list as he is away from the team and it is uncertain when he will return.
Jake Kumerow,GNB,WR,Shoulder,I-R,Kumerow is on injured reserve due to a sprained SC joint and it is undetermined if he will be designated to return for the game against the Patriots in Week 9.
Kevin King,GNB,CB,Face,probable,King was removed from the previous game with an injury to his chin but it is likely he will play Monday against the 49ers.
Kentrell Brice,GNB,S,Ankle,questionable,Brice is tending to an ankle injury and it is unclear if it will hinder his availability against the 49ers on Monday.
Geronimo Allison,GNB,WR,Hamstring,questionable,Allison sat out the previous game due to a hamstring injury and it is uncertain if he will be in the lineup for Monday's matchup against the 49ers.
Jimmy Graham,GNB,TE,Knee,probable,Graham is battling a knee injury but it is not expected to impede his status against the 49ers on Monday.
Randall Cobb,GNB,WR,Hamstring,doubtful,Cobb has sat out the previous two games due to a hamstring injury and it is unlikely he will be available against the 49ers on Monday.
Justin McCray,GNB,G,Shoulder,questionable,McCray is bothered by a shoulder injury and it has yet to be established if he will face the 49ers on Monday.
Jermaine Whitehead,GNB,S,Back,questionable,Whitehead was held out of the previous game due to a back injury and it is undetermined if he will participate on Monday against the 49ers.
